Date,Height
2016-02-16,59.445
2016-02-26,60.151
2016-03-07,59.619
2016-03-17,60.177
2016-03-27,59.757
2016-04-06,60.478
2016-04-16,62.098
2016-04-26,63.83
2016-05-16,61.486
2016-05-26,64.267
2016-06-05,63.639
2016-07-04,66.306
2016-07-14,67.61
2016-08-03,69.084
2016-08-13,66.591
2016-08-23,66.646
2016-09-02,66.724
2016-09-12,66.735
2016-09-22,66.65
2016-10-02,65.077
2016-10-11,63.135
2016-10-21,63.435
2016-10-31,63.186
2016-11-10,62.457
2016-11-20,65.763
2016-11-30,61.419
2016-12-10,65.555
2016-12-20,66.131
2016-12-30,66.178
2017-01-09,66.215
2017-01-19,66.46
2017-01-28,59.509
2017-02-07,59.442
2017-02-17,59.235
2017-02-27,59.636
2017-03-09,59.541
2017-03-19,61.248
2017-03-29,60.13
2017-04-08,62.655
2017-04-18,60.64
2017-04-28,61.646
2017-05-08,61.742
2017-05-18,61.58
2017-05-27,61.168
2017-06-16,64.593
2017-06-26,65.808
2017-07-06,66.572
2017-07-16,68.179
2017-07-26,69.85
2017-08-05,64.847
2017-08-15,66.57
2017-08-25,68.614
2017-09-04,66.924
2017-09-14,67.335
2017-09-23,66.029
2017-10-03,65.167
2017-10-13,64.635
2017-10-23,64.285
2017-11-02,63.869
2017-11-12,61.913
2017-11-22,66.963
2017-12-02,67.102
2017-12-12,65.644
2017-12-22,65.763
2018-01-01,65.52
2018-01-11,65.33
2018-01-20,59.401
2018-01-30,59.344
2018-02-09,59.205
2018-02-19,59.271
2018-03-01,59.013
2018-03-11,60.074
2018-03-21,59.593
2018-03-31,60.186
2018-04-10,59.485
2018-04-20,60.256
2018-04-30,60.543
2018-05-10,60.232
2018-05-19,60.724
2018-05-29,61.398
2018-06-08,66.346
2018-06-18,65.158
2018-06-28,65.825
2018-07-08,66.644
2018-07-18,67.359
2018-07-28,66.884
2018-08-07,67.214
2018-08-17,66.909
2018-08-27,66.596
2018-09-06,67.002
2018-09-15,66.536
2018-09-25,65.211
2018-10-05,64.923
2018-10-15,64.608
2018-10-25,63.246
2018-11-04,62.058
2018-11-14,61.533
2018-11-24,65.61
2018-12-04,65.754
2018-12-14,66.122
2018-12-24,66.022
2019-01-03,65.796
2019-01-12,60.114
2019-01-22,59.619
2019-02-01,59.34
2019-02-11,59.178
2019-02-21,59.124
2019-03-13,60.244
2019-03-23,60.003
2019-04-02,60.063
2019-04-22,60.369
2019-05-01,59.933
2019-05-11,62.21
2019-05-21,64.307
2019-05-31,64.392
2019-06-10,60.139
2019-06-20,62.413
2019-07-10,64.795
2019-07-20,68.668
2019-07-30,67.176
2019-08-09,67.085
2019-08-19,66.456
2019-08-28,65.146
2019-09-07,66.303
2019-09-17,65.436
2019-09-27,64.462
2019-10-07,62.727
